"time","file","row","column","references","code"
"5035","GoalConverter.swift","17","14","18","static method goal(from:)"
"3809","HistoryOperationViewModelMock.swift","33","34","24","getter amount"
"3713","GoalDetailsHeaderView.swift","80","7","18","instance method set(model:)"
"3504","AutoPaymentDetailConverterTest.swift","27","7","10","instance method testCoverterAutopaymenDetailMock()"
"3471","KPPCalculatorViewController.swift","91","15","24","instance method updateFormItems(empMonthSalary:rateCF:accBalYearInfo:)"
"2911","CreditHolidays.ItemsFactory.swift","33","7","16","instance method makeItems(from:formItemsOutput:)"
"2847","CatalogProductListFormItemsProviderTests.swift","25","7","25","instance method testGenerating()"
"2649","WelfareHistorySelectWidgetService.swift","112","15","25","instance method items(operations:)"
"2601","KPPCombinedCardViewController.swift","88","15","24","instance method loadData()"
"2581","WelfareSheetSelectWidgetService.swift","17","3","24","didSet observer selectedValue"
"2562","UIView+Layout.swift","33","7","24","instance method pinToSuperView(anchors:withInsets:)"
"2551","WelfareHistorySelectWidgetService.swift","115","66","25","(closure)"
"2544","ISZStrategyFundCell.swift","121","15","24","instance method setupConstraints()"
"2535","AutopaymentListConverterTest.swift","27","7","10","instance method testCoverterSubscriptionDetailMock()"
"2522","RatesUseCase.swift","123","7","25","instance method makeRateBundles(from:)"
"2498","RatesUseCase.swift","127","49","25","(closure)"
"2494","ISZFundHeaderCell.swift","61","15","23","instance method setupUI()"
"2472","ProductLineView.Views.ContractTitle.swift","88","16","24","instance method updateViewState()"
"2472","KPPDropDownCell.swift","50","15","24","instance method setupUI()"
"2437","ContractViewController.swift","101","7","25","instance method selectContract(with:animated:)"
"2432","ProductTitleView.swift","94","15","24","instance method updateAnimatedView()"
"2371","KPPAboutCardCell.swift","70","15","24","instance method setupConstraints()"
"2367","WelfareStepWidgetFabric.swift","20","14","24","static method service(with:references:delegate:settings:)"
"2359","InvestmentsReference.swift","146","14","24","instance method productView(with:)"
"2293","RestScreen+FormItemFactory+ActiveItems.swift","68","7","24","instance method profitabilityChart(for:with:)"
"2261","Converter.MetalsConcretizer.swift","173","7","24","instance method adjust(amount:for:)"
"2240","WelfareRemainWidgetFabric.swift","36","14","24","static method service(with:references:delegate:settings:)"
"2216","ChainDispatcher.swift","29","14","22","instance method dispatch(request:callbackQueue:onResult:)"
"2207","ChainDispatcher.swift","33","32","22","(closure)"
"2197","DocumentProvider.swift","74","2","24","initializer init(maxSize:)"
"2192","ChainDispatcher.swift","38","26","22","(closure)"
"2182","ProductDetailsNSZFactoryTests.swift","34","7","21","instance method testButtonsAvailable()"
"2158","WelfareQuantityService.swift","135","15","24","instance method updateItemValue()"
"2157","Auxiliary.swift","23","20","25","getter isWhole"
"2140","IMADBObjectsManagerTests.swift","55","15","19","instance method checkUpdateDBObjectsValues(stubbedHasChanges:)"
"2102","KPPCalculatorViewController.swift","76","15","24","instance method performAdd(_:)"
"2096","EndpointConfigurationFactoryTests.swift","48","7","24","instance method testGenerationEndpoint()"
"2094","EdgeConstraints.swift","27","7","22","instance method apply(insets:)"
"2077","Converter.SearchFeatureItemsProvider.swift","44","45","25","getter currenciesConverterSearchIndex"
"2055","ProductDetailsIISFactoryTests.swift","26","10","21","instance method testButtonsAvailable()"
"2019","KPPCombinedCardViewController.swift","90","38","24","(closure)"
"1981","CurrenciesSorter.swift","60","7","24","instance method sortedCurrencies(from:)"
"1979","Converter.ScreenItemsStrategy.swift","67","7","25","instance method formInitialItemsSet()"
"1979","RestScreen+NetworkService.swift","32","8","24","instance method getData(with:)"
"1954","ContractNotesPresenterTests.swift","46","7","25","instance method testDidLoad()"
"1944","Converter.ScreenItemsStrategy.swift","82","44","25","(closure)"
"1936","RestScreen+NetworkService.swift","35","46","24","(closure)"
"1933","WelfareAttachDocumentsWidgetFabric.swift","72","22","24","static method widgetViewModel(for:)"
"1920","WelfareHistorySelectWidgetService.swift","121","61","25","(closure)"
"1918","WelfareStepWidgetFabricTests.swift","80","7","25","instance method testServiceWithWidgetNumber()"
"1915","CatalogProductListFormItemsProvider.swift","12","7","24","instance method fetchCatalogProductsItems(response:delegate:dataSource:)"
"1913","LauncherDecoderTests+Prolongation.swift","14","7","25","instance method testSalesProlongationEnabled()"
"1912","WelfareSelectWidgetFabricTests.swift","79","7","25","instance method testServiceWithSelectedValue()"
"1910","CalculateInsuranceWorker.swift","62","15","16","instance method updateData()"
"1901","WelfareRemainWidgetService.swift","49","15","25","instance method updateItemValue(resetStyle:)"
"1888","WelfareKladrElement.swift","87","7","24","instance method beginEditing(_:)"
"1884","JSONMock.swift","41","8","24","instance method json()"
"1880","WelfareChipsSelectFormCell.swift","73","7","24","instance method setFormItem(_:context:)"
"1875","InsuranceReference.swift","53","70","25","(closure)"
"1873","FeatureToggle.swift","40","7","24","instance method isEnabled(_:)"
"1868","RestScreen+NetworkService.swift","40","32","24","(closure)"
"1848","WelfareSectionSubheaderWidgetTests.swift","49","7","25","instance method testStrategiesWithVisibilityAttribute()"
"1844","EndpointServiceTests.swift","91","7","25","instance method testPromocodeParams()"
"1841","BundleStrategies+DepositIncomeCalculator.swift","31","7","24","instance method recalculate(for:)"
"1829","WelfareChipsSelectFormCell.swift","79","38","24","(closure)"
"1828","WelfareHistorySelectWidgetServiceTests.swift","74","7","25","instance method testServiceCreationWithEmptyHistory()"
"1827","INVMOProduct+CoreDataClass.swift","245","34","24","instance method descriptText()"
"1826","XCUIElement+Scrolling.swift","89","14","18","instance method scrollInDirection(direction:distance:)"
"1825","Rates.RateItemsMaker.swift","83","7","25","instance method primatyData(for:)"
"1816","KPPCalculatorBuilder.swift","46","16","24","instance method getAddItem(title:subtitle:buttonTitle:actionBlock:)"
"1813","WelfareAdditionalSummWidgetFabricTests.swift","59","7","25","instance method testVisionStrategyExistence()"
"1809","WelfareKladrFlat.swift","56","40","25","getter kladrParameters"
"1806","INVActionTests.swift","16","7","21","instance method testActionTypeForKey()"
"1794","WelfareAdditionalSummSelectWidgetService.swift","102","7","25","instance method onSelectItemDidTapped()"
"1794","WelfareStepFormCell.swift","146","7","24","instance method setFormItem(_:context:)"
"1773","ProductDetailsPIFFactory.swift","72","7","24","instance method makeHeaderCard(for:)"
"1765","SOXMLField+Extensions.swift","13","28","22","getter valueMoney"
"1738","WelfareQuantityService.swift","152","68","24","(closure)"
"1736","RestScreen+FormItemFactory+ActiveItems+Tests.swift","63","7","22","instance method testCircleDiagram()"
"1735","WelfareKladrStreet.swift","83","40","24","getter kladrParameters"
"1730","ISZScreenInfoTests.swift","44","7","22","instance method testParseIncorrectScreenData()"
"1723","Array+Auxiliary.swift","14","42","25","getter subscript(safe:)"
"1723","Converter.LocalizableStringsFactory.swift","160","7","25","instance method moreProfitableRatesBannerMessage(leftBound:leftCurrencyUnits:quotient:leftCurrencyShortValue:amount:restValue:rightCurrencyUnits:)"
"1722","YearInputFieldFormatter.swift","36","15","24","instance method yearSuffix(for:)"
"1715","YearInputFieldFormatter.swift","44","15","24","instance method yearTitle(for:)"
"1713","LoanAmountWithInsuranceWorker.swift","113","15","17","instance method calculateAmount(amount:term:rate:)"
"1710","CatalogProductListFormItemsProvider.swift","17","42","24","(closure)"
"1704","CatalogProductListEndpoint.swift","24","14","24","instance method performTransition()"
"1700","WelfareKladrHouse.swift","110","40","24","getter kladrParameters"
"1697","ProductRowController.swift","19","7","12","instance method bindModel(_:)"
"1690","WelfareHistorySelectWidgetFabric.swift","110","3","25","initializer init(sheetTitle:completeButtonText:cardId:historyOperations:dateFrom:dateTo:maxOperations:)"
"1690","Workflow+Utils.swift","90","2","24","initializer init(_:)"
"1689","WelfareSheetSelectWidgetFabric.swift","61","22","25","static method sheetFormItems(title:referenceItems:settings:)"
"1682","BundleStrategies+DepositRateCalculator.swift","28","47","24","getter selectedAccumulationPeriod"
"1680","AmountRatioStrategy.swift","48","14","24","instance method apply()"
"1653","ProductDetailsIPPFactory.swift","96","7","23","instance method makeHeaderCard(for:)"
"1639","NszhBottomSheetViewController.swift","148","7","24","instance method shouldTransition(to:)"
"1625","INVMOProduct+CoreDataClass.swift","211","29","24","instance method invType()"
"1624","Casting.swift","23","13","22","global function cast(_:)"
"1619","INVMOProductTests.swift","16","7","21","instance method testTypeForKey()"
"1619","WelfareQuantityService.swift","114","15","24","instance method labelForQuantity(field:)"
"1618","CreateAutoSubscriptionPaymentDocument.swift","79","22","22","static method fieldsForType(_:)"
"1610","RestScreen+DocumentListener.swift","19","8","24","instance method openDocument(with:)"
"1607","GoalInfoItemsFactory.swift","26","7","18","instance method createItems(account:currency:)"
"1606","LoanAmountWithInsuranceWorker.swift","95","15","17","instance method updateData()"
"1605","Converter.CurrenciesConcretizer.swift","59","7","24","instance method currenciesList(basedOn:snapshot:)"
"1592","ContractNotesViewModelProvider.swift","40","15","25","instance method formItems(conditions:)"
"1589","ExecutionConfirmBuilder.swift","79","42","22","getter paramRepresentation"
"1582","CreateAutopaymentStepConverterTests.swift","36","7","11","instance method testSaveStep()"
"1565","WelfareKladrCity.swift","52","34","25","getter regionTitle"
"1562","DiscountRateCalculatorWorker.swift","90","15","17","instance method setupSubProduct()"
"1549","SOChain+Extensions.swift","50","28","22","getter wasLoadingError"
"1548","AmountRatioStrategy.swift","55","29","24","(closure)"
"1548","WidgetLocalizableStringsFactoryMock.swift","43","7","20","instance method actualRateRangeInformation(amountUpper:for:)"
"1533","GoalDateDescriptionStrategy.swift","64","54","18","(closure)"
"1507","CurrencyListItemCell.swift","45","7","25","instance method setup()"
"1506","Utils.swift","33","14","20","static method nextSet(toggleValues:)"
"1506","GoalDetailsActionItemsBulder.swift","46","7","18","instance method makeButtonViewModel(for:)"
"1497","StaticToggles.swift","119","15","9","instance method convertBins(from:)"
"1489","NewCardItemExpireValidator.swift","44","7","11","instance method validate(_:)"
"1488","StaticToggles.swift","123","16","9","(closure)"
"1483","NszhBottomSheetViewController.swift","19","52","24","(closure)"
"1478","CatalogProductListRouterTests.swift","48","7","25","instance method testOpenSalesProcessForProductCodeString()"
"1471","ProductDetailsInfoItemFactory.swift","23","7","24","instance method makeDetailsInfoItems(for:presenter:needHeader:)"
"1445","NszhBottomSheetViewController.swift","22","26","24","(closure)"
"1444","BindingSemanticStringsFactory.swift","26","7","11","instance method onboardingOtherCardSubtitle(cardId:)"
"1433","Converter.ViewController.swift","138","7","25","instance method presenter(_:selectCurrencyFromCurrencies:forFieldID:type:)"
"1423","ConverterConcretizerSpy.swift","50","7","20","instance method moreProfitableRatesBannerMessage(rateInterval:inputCurrency:computedCurrency:restValue:)"
"1423","InputFieldValidatorFactory.swift","29","22","25","static method maxLengthValidator(_:)"
"1411","CurrencyConverterTests.swift","234","7","19","instance method checkInverseConversionImpl(operationType:from:)"
"1408","GoalDetailsActionItemsBulder.swift","52","21","18","(closure)"
"1406","CurrencyConverterTests.swift","238","21","19","(closure)"
"1399","Rates.Cells.PrimaryView.swift","46","7","25","instance method set(primaryData:)"
"1391","ContractNoteEndpointTests.swift","72","7","24","instance method testAvailabilityAlertModel()"
"1390","Converter.Container.ViewController.swift","135","7","24","instance method setup()"
"1390","CurrenciesSorterSpy.swift","18","7","20","instance method sortedCurrencies(from:)"
"1388","WelfareKladrFabricTests.swift","95","7","24","instance method testSwitchFieldItemMake()"
"1367","RatesMetalContentStrategyTests.swift","122","7","19","instance method expectedFormItemForCorrectSnapshot(converterFeatureEnabled:)"
"1360","KnifeSwitchDecoderTests.swift","77","15","8","instance method checkAllToggles(isOn:)"
"1358","TransfersStatusPage.swift","77","14","18","instance method checkReceiverProduct(productType:productRegex:)"
"1355","LauncherDecoderTests.swift","97","7","25","instance method testFeatureMainViewEnabled()"
"1354","Utils.swift","19","14","20","static method generateFeatureAvailabilityFlagsCases(featureAvailabilityProvidersCount:)"
"1350","WelfareHistorySelectWidgetServiceTests.swift","167","7","25","instance method testServiceWithSelectItem()"
"1333","WelfareFundSelectDataSource.swift","110","15","24","instance method styleNameDetailWithProfit(profit:)"
"1326","ContractBuilderResolverTests.swift","153","7","25","instance method testResolveStatusViewBelowGridButtons()"
"1326","NszhCalculatorEndPointTests.swift","38","7","22","instance method setDeeplink(baseUrl:parameters:)"
"1324","WelfareAttachDocumentsAlertsProvider.swift","78","15","24","instance method bigFileSizeAlert(maxSize:)"
"1317","WelfareLoaderWidgetConfig.swift","29","2","24","initializer init(urlPath:period:maxCounter:messages:parameters:)"
"1317","ProductDetailPage.swift","54","7","18","instance method getProductSliderFromType(productType:)"
"1302","JSONMock.swift","36","35","24","getter bundlePath"
"1293","WelfareQuantityService.swift","110","35","24","getter currentQuantity"
"1289","KPPCombinedCell.swift","102","15","24","instance method configureConstraints()"
"1289","CurrenciesAndMetalsModule.swift","278","44","25","getter featureItems"
"1284","MonthlyPaymentCalculatorWorker.swift","210","15","16","instance method calculate()"
"1283","NoDataView.swift","63","15","10","instance method setupLayout()"
"1256","WelfareKladrCity.swift","109","28","25","getter kladrSubtitle"
"1252","StepsHelper.swift","50","14","19","static method checkElementText(element:text:byRegex:)"
"1242","UFSLauncherParametersManager.swift","145","7","17","instance method decodeChangePaymentAccountInHistoryOperation(featureKey:feature:flowNameKey:flowPathKey:)"
"1240","MultiSelectCoefficentStrategy.swift","58","15","25","instance method updateWidgetValue()"
"1231","EribResponseFilterPatcher.swift","30","14","12","instance method patch(data:)"
"1228","NewCardPresenter.swift","70","7","12","instance method presentCardNumber(_:month:year:)"
"1225","KPPCombinedCardViewController.swift","145","16","24","instance method formView(_:didSelectItem:)"
"1216","DiscountRateCalculatorWorker.swift","161","15","17","instance method getRate(_:)"
"1214","Date+Relative.swift","39","7","24","instance method dateRelativeToCurrent(monthsAgo:calendar:)"
"1210","DiscountRateCalculatorWorker.swift","162","41","17","(closure)"
"1207","SBFMoney+Extensions.swift","20","7","22","instance method formattedString(currencySignNeeded:plusNeeded:alwaysShowFractionDigits:)"
"1206","ResourceItem.swift","52","26","12","static method extractData(from:)"
"1206","SecurityCodePinsProviderTests.swift","29","7","9","instance method testCreateButtonsModels()"
"1201","Widget.ExtendedAnalytics.swift","33","7","24","instance method sendChangeCurrentCurrency(previous:current:)"
"1199","CurrenciesSorterTests.swift","53","7","20","instance method checkReturnSortedCurrencies(prioritiesCurrencies:)"
"1198","RecommendedProviderConverterTest.swift","29","7","10","instance method testConverterWithResponseRecommended()"
"1191","DelayedExecutor.swift","45","7","17","instance method dispatchCoalesced(closure:)"
"1188","GoalSubcategoryCollectionItem.swift","53","7","18","instance method formItemHeight(forWidth:context:)"
"1170","WelfareFundSelectDataSourceTests.swift","17","7","21","instance method testObtainFormItems()"
"1168","MonthlyPaymentCalculatorWorker.swift","106","3","16","didSet observer amount"
"1167","RatesFormViewController.swift","158","15","24","instance method makeConstraints()"
"1167","CurrencyConverterTests.swift","158","7","19","instance method checkStraightConversionImpl(operationType:from:)"
"1162","CurrencyConverterTests.swift","162","21","19","(closure)"
"1158","SecurityCodePinPadViewController.swift","248","15","11","instance method setupUI()"
"1158","Converter.Container.ViewController.swift","223","7","24","instance method makeConstraints()"
"1156","SecurityCodePinsProviderTests.swift","36","46","9","(closure)"
